BotName, Behaviour, PositionX, PositionY, OrientationX, OrientationY,  DistanceToEnemyFlag, DistanceToOwnFlag, DistanceToEnemyBase, DistanceToOwnBase, DistanceToEnemyFlagScore, DistanceToOwnFlagScore, DistanceToEnemyFlagSpawn, DistanceToOwnFlagSpawn, Visibility, DistanceToNearestEnemy, GameState
1, 1, 44, 10, 2.2009602, 4, 4, 56, 56, 44, 46, 4, 4, 34, 999999, 0, 3, 15900
1, 1, 42, 12, 1.9829248, 4, 8, 52, 56, 44, 42, 4, 4, 28, 999999, 0, 3, 17500
1, 1, 42, 12, 2.272467, 4, 8, 52, 56, 44, 42, 4, 4, 28, 999999, 0, 3, 17633
1, 1, 42, 12, 2.3367376, 4, 8, 52, 56, 44, 42, 4, 4, 28, 999999, 0, 3, 17766
1, 1, 42, 12, 2.3468232, 4, 8, 52, 56, 44, 42, 4, 4, 28, 999999, 0, 3, 18833
1, 1, 42, 12, -2.847495, 4, 8, 52, 56, 44, 42, 4, 4, 28, 999999, 0, 3, 18966
1, 1, 42, 12, -2.0568945, 4, 8, 52, 56, 44, 42, 4, 4, 28, 999999, 0, 3, 19100
1, 1, 42, 12, -1.873029, 4, 8, 52, 56, 44, 42, 4, 4, 28, 999999, 0, 3, 19233
1, 1, 42, 11, -1.8302655, 3, 7, 53, 57, 45, 43, 3, 3, 31, 999999, 0, 3, 19366
2, 1, 46, 9, -2.3392239, 5, 1, 59, 55, 43, 49, 5, 5, 28, 999999, 0, 3, 15766
2, 1, 45, 8, -2.74202, 3, 1, 59, 57, 45, 49, 3, 3, 30, 999999, 0, 3, 16166
2, 1, 45, 8, 3.14056, 3, 1, 59, 57, 45, 49, 3, 3, 30, 999999, 0, 3, 16300
2, 1, 43, 8, 3.020685, 1, 3, 57, 59, 47, 47, 1, 1, 31, 999999, 0, 3, 16700
2, 1, 43, 8, 1.875735, 1, 3, 57, 59, 47, 47, 1, 1, 31, 999999, 0, 3, 17500
2, 1, 43, 8, 3.095065, 1, 3, 57, 59, 47, 47, 1, 1, 31, 999999, 0, 3, 17633
2, 1, 42, 8, -2.8519492, 0, 4, 56, 60, 48, 46, 0, 0, 30, 999999, 0, 3, 17766
2, 1, 42, 8, -2.6438394, 0, 4, 56, 60, 48, 46, 0, 0, 30, 999999, 0, 3, 17900
2, 1, 42, 8, 3.0924227, 0, 4, 56, 60, 48, 46, 0, 0, 30, 999999, 0, 3, 18566
2, 1, 42, 8, 2.7014704, 0, 4, 56, 60, 48, 46, 0, 0, 30, 999999, 0, 3, 18700
2, 1, 42, 8, 2.6105497, 0, 4, 56, 60, 48, 46, 0, 0, 30, 999999, 0, 3, 18833
2, 1, 41, 8, 2.5894024, 1, 5, 55, 61, 49, 45, 1, 1, 29, 999999, 0, 3, 18966
2, 1, 41, 9, 2.5844839, 2, 6, 54, 60, 48, 44, 2, 2, 28, 999999, 0, 3, 19100
2, 1, 40, 9, 2.5833402, 3, 7, 53, 61, 49, 43, 3, 3, 28, 999999, 0, 3, 19233
3, 1, 83, 26, -2.6705964, 59, 55, 81, 3, 51, 59, 59, 59, 18, 999999, 0, 3, 20033
3, 1, 80, 24, -2.6708016, 54, 50, 78, 6, 50, 58, 54, 54, 24, 999999, 0, 3, 21633
3, 1, 79, 23, -2.7578504, 52, 48, 78, 8, 50, 58, 52, 52, 24, 999999, 0, 3, 21766
3, 1, 79, 23, -2.7844167, 52, 48, 78, 8, 50, 58, 52, 52, 24, 999999, 0, 3, 21900
3, 1, 77, 22, -2.1450775, 49, 45, 77, 11, 49, 57, 49, 49, 30, 999999, 0, 3, 22300
3, 1, 76, 21, -2.049477, 47, 43, 77, 13, 49, 57, 47, 47, 33, 999999, 0, 3, 22433
3, 1, 76, 21, -2.2357457, 47, 43, 77, 13, 49, 57, 47, 47, 33, 999999, 0, 3, 22566
3, 1, 75, 20, -2.5942411, 45, 41, 77, 15, 49, 57, 45, 45, 33, 999999, 0, 3, 22699
3, 1, 74, 20, -2.6776135, 44, 40, 76, 16, 48, 56, 44, 44, 33, 999999, 0, 3, 22833
3, 1, 74, 19, -2.289652, 43, 39, 77, 17, 49, 57, 43, 43, 35, 999999, 0, 3, 22966
3, 1, 73, 19, -2.3230958, 42, 38, 78, 18, 50, 58, 42, 42, 28, 999999, 0, 3, 23099
3, 1, 73, 18, -2.3595476, 41, 37, 77, 19, 49, 57, 41, 41, 38, 31, 1, 3, 23233
3, 1, 72, 18, -2.5787559, 40, 36, 76, 20, 48, 56, 40, 40, 36, 30, 1, 3, 23366
3, 1, 71, 18, -3.0228662, 39, 35, 75, 21, 47, 55, 39, 39, 36, 29, 1, 3, 23499
3, 1, 70, 18, -3.1261492, 38, 34, 74, 22, 46, 54, 38, 38, 47, 27, 1, 3, 23633
3, 1, 68, 16, -2.4016254, 34, 30, 74, 26, 46, 54, 34, 34, 48, 19, 1, 3, 24833
3, 1, 68, 16, 2.2970605, 34, 30, 74, 26, 46, 54, 34, 34, 48, 18, 1, 3, 24966
3, 1, 68, 16, 1.9285567, 34, 30, 74, 26, 46, 54, 34, 34, 48, 18, 1, 3, 25099
