@relation 'ALL-weka.filters.unsupervised.attribute.Remove-R1,3-4,6-9,15-16,18'

@attribute ' Behaviour' {0, 1}
@attribute ' Orientation' numeric
@attribute ' DistanceToEnemyFlagScore' numeric
@attribute ' DistanceToOwnFlagScore' numeric
@attribute ' DistanceToEnemyFlagSpawn' numeric
@attribute ' DistanceToOwnFlagSpawn' numeric
@attribute ' Visibility' numeric
@attribute ' GameState' numeric

@data
0,-2.731465,52,60,56,56,20,3
0,-2.682916,52,60,60,60,19,3
0,-2.856077,52,60,56,56,20,3
0,-2.593888,52,60,60,60,19,3
0,-2.91725,52,60,56,56,20,3
0,-2.497503,52,60,60,60,19,3
0,-2.931479,53,61,55,55,20,3
0,-2.475084,51,59,59,59,18,3
0,-2.934788,52,60,54,54,20,3
0,-2.46987,51,59,59,59,18,3
0,-2.988538,51,59,53,53,22,3
0,-2.505414,51,59,57,57,19,3
0,-3.026594,51,59,53,53,22,3
0,-2.569239,50,58,56,56,22,3
0,-3.035445,50,58,52,52,24,3
0,-2.584085,51,59,55,55,21,3
0,-3.037504,49,57,51,51,32,3
0,-2.677808,50,58,54,54,24,3
0,-3.037982,48,56,50,50,35,3
0,-2.743136,49,57,53,53,30,3
0,-1.967657,49,57,49,49,30,3
0,-2.75833,49,57,51,51,32,3
0,-2.377736,49,57,49,49,30,3
0,-2.761864,49,57,51,51,32,3
0,-2.473104,49,57,47,47,33,3
0,-2.545495,48,56,50,50,35,3
0,-2.495286,49,57,47,47,33,3
0,-1.811992,49,57,49,49,30,3
0,-2.500445,49,57,45,45,33,3
0,-1.860166,50,58,48,48,26,3
0,-2.318763,49,57,43,43,35,3
0,-2.336578,49,57,47,47,33,3
0,-2.248373,49,57,43,43,35,3
0,-2.447373,49,57,45,45,33,3
0,-2.232001,49,57,41,41,38,3
0,-2.3496,49,57,45,45,33,3
0,-2.268793,49,57,41,41,38,3
0,-2.307851,49,57,43,43,35,3
0,-2.338718,49,57,39,39,43,3
0,-2.298141,49,57,43,43,35,3
0,-2.354982,50,58,38,38,47,3
0,-2.295883,49,57,41,41,38,3
0,-2.357572,49,57,37,37,50,3
0,-2.421357,49,57,39,39,43,3
0,-2.356372,50,58,36,36,53,3
0,-2.469925,49,57,39,39,43,3
0,-2.356093,49,57,35,35,52,3
0,-2.481221,50,58,38,38,47,3
0,-2.356028,50,58,34,34,51,3
0,-2.483848,49,57,37,37,50,3
0,-2.356013,49,57,33,33,39,3
0,-2.344568,49,57,35,35,52,3
0,-1.703014,50,58,32,32,39,3
0,-2.244715,49,57,35,35,52,3
0,-1.55115,51,59,31,31,48,3
0,-2.22149,49,57,33,33,39,3
0,-2.003051,52,60,30,30,53,3
0,-2.048487,50,58,32,32,39,3
