@relation 'TrainingData-weka.filters.unsupervised.attribute.Remove-R1,3-4,18-weka.filters.unsupervised.attribute.Remove-R3-4'

@attribute ' Behaviour' {0,1,2,3}
@attribute ' Orientation' numeric
@attribute ' DistanceToEnemyBase' numeric
@attribute ' DistanceToOwnBase' numeric
@attribute ' DistanceToEnemyFlagScore' numeric
@attribute ' DistanceToOwnFlagScore' numeric
@attribute ' DistanceToEnemyFlagSpawn' numeric
@attribute ' DistanceToOwnFlagSpawn' numeric
@attribute ' Visibility' numeric
@attribute ' DistanceToNearestEnemy' numeric
@attribute ' seesEnemy' {0,1}
@attribute ' GameState' numeric

@data
1,-2.670596,81,3,51,59,59,59,18,999999,0,3
1,-2.680466,81,3,51,59,59,59,18,999999,0,3
1,-2.308898,81,3,51,59,59,59,18,999999,0,3
1,-2.222485,81,3,51,59,59,59,18,999999,0,3
1,-2.202386,80,4,50,58,58,58,19,999999,0,3
1,-2.197712,79,3,51,59,57,57,19,999999,0,3
1,-2.196625,78,4,50,58,56,56,22,999999,0,3
1,-2.462112,79,5,51,59,55,55,21,999999,0,3
1,-2.652007,78,6,50,58,54,54,24,999999,0,3
1,-2.732432,78,8,50,58,52,52,24,999999,0,3
1,-2.768627,78,8,50,58,52,52,24,999999,0,3
1,-2.777046,77,9,49,57,51,51,32,999999,0,3
1,-2.556687,77,11,49,57,49,49,30,999999,0,3
1,-2.169386,77,11,49,57,49,49,30,999999,0,3
1,-2.079315,77,13,49,57,47,47,33,999999,0,3
1,-2.058365,77,13,49,57,47,47,33,999999,0,3
1,-2.559091,77,15,49,57,45,45,33,999999,0,3
1,-2.67554,76,16,48,56,44,44,33,999999,0,3
1,-2.311034,78,18,50,58,42,42,28,999999,0,3
1,3.057885,75,25,47,55,35,35,54,18,1,3
1,2.916105,73,25,45,53,35,35,55,18,1,3
1,3.012069,73,25,45,53,35,35,55,17,1,3
1,-3.053892,73,27,45,53,33,33,43,17,1,3
1,-3.003371,73,27,45,53,33,33,43,16,1,3
1,-3.133531,73,15,39,47,51,51,46,22,1,3
1,3.141445,72,16,38,46,50,50,46,21,1,3
1,3.141445,72,16,38,46,50,50,46,21,1,3
1,3.141445,71,17,37,45,49,49,45,20,1,3
1,3.141445,70,18,36,44,48,48,43,19,1,3
1,2.723762,59,39,15,23,39,39,39,999999,0,3
1,2.441679,59,39,15,23,39,39,39,999999,0,3
1,2.51495,59,41,13,21,39,39,44,999999,0,3
1,2.741907,59,41,13,21,39,39,44,999999,0,3
1,2.794691,58,42,12,20,38,38,45,999999,0,3
1,2.806968,58,42,12,20,38,38,45,999999,0,3
1,2.809823,58,42,12,20,38,38,45,999999,0,3
1,2.810487,57,43,11,19,37,37,48,999999,0,3
1,2.810641,58,44,10,18,38,38,45,999999,0,3
